Number of Rainy Days,
2009M01,5
2009M02,8
2009M03,19
2009M04,12
2009M05,17
2009M06,8
2009M07,16
2009M08,12
2009M09,11
2009M10,15
2009M11,23
2009M12,18
2010M01,10
2010M02,4
2010M03,11
2010M04,18
2010M05,17
2010M06,20
2010M07,18
2010M08,16
2010M09,13
2010M10,17
2010M11,21
2010M12,14
2011M01,17
2011M02,7
2011M03,22
2011M04,12
2011M05,15
2011M06,15
2011M07,7
2011M08,13
2011M09,14
2011M10,20
2011M11,24
2011M12,21
2012M01,16
2012M02,11
2012M03,21
2012M04,20
2012M05,19
2012M06,8
2012M07,17
2012M08,12
2012M09,10
2012M10,13
2012M11,22
2012M12,22
2013M01,15
2013M02,22
2013M03,10
2013M04,15
2013M05,18
2013M06,12
2013M07,15
2013M08,15
2013M09,19
2013M10,19
2013M11,22
2013M12,21
2014M01,5
2014M02,1
2014M03,6
2014M04,16
2014M05,18
2014M06,11
2014M07,15
2014M08,20
2014M09,9
2014M10,10
2014M11,23
2014M12,17
