Country,Population
China,1357379000
India,1257476000
Indonesia,248731000
Pakistan,183936000
Bangladesh,154514000
Japan,127350000
Philippines,98000005
Vietnam,89702000
Iran,77789000
Thailand,67357000
Myanmar,62342000
South Korea,50394000
Iraq,35404000
Malaysia,30476000
Uzbekistan,30214000
Saudi Arabia,30193000
Nepal,27224000
Afghanistan,25758000
North Korea,25313000
Yemen,25252000
Taiwan,23344000
Syria,22169000
Sri Lanka,20462000
Kazakhstan,17030000
Cambodia,14572000
United Arab Emirates,8659000
Israel,8047000
Tajikistan,8044000
Hong Kong,7193000
Laos,6581000
Jordan,6517000
Kyrgyzstan,5717000
Turkmenistan,5463000
Singapore,5437000
Palestine,4421000
Lebanon,4127000
Oman,3942000
Kuwait,3852000
Mongolia,2859000
Qatar,1917000
Bahrain,1546000
Bhutan,728000
Macau,593000
Brunei,407000
Maldives,331000
